,Date,Favorite,Spread,Underdog,Total,Away Money Line,Home Money Line
13,2006-10-30 00:00:00,Patriots,-1.0,at Vikings,39.0,,
0,2006-11-05 00:00:00,at Ravens,-3.0,Bengals,41.0,,
1,2006-11-05 00:00:00,at Bills,-3.0,Packers,41.5,,
2,2006-11-05 00:00:00,at Bears,-13.0,Dolphins,37.0,,
3,2006-11-05 00:00:00,Falcons,-5.5,at Lions,47.0,,
4,2006-11-05 00:00:00,at Jaguars,-9.0,Titans,37.0,,
5,2006-11-05 00:00:00,at Chargers,-12.0,Browns,41.0,,
6,2006-11-05 00:00:00,at Rams,-2.0,Chiefs,48.0,,
7,2006-11-05 00:00:00,at Patriots,-3.0,Colts,48.0,,
8,2006-11-05 00:00:00,at Giants,-12.0,Texans,43.0,,
9,2006-11-05 00:00:00,at Steelers,-3.0,Broncos,36.0,,
10,2006-11-05 00:00:00,Vikings,-4.5,at 49ers,42.0,,
11,2006-11-05 00:00:00,at Buccaneers,-0.0,Saints,38.0,,
12,2006-11-05 00:00:00,Cowboys,-3.0,at Redskins,41.0,,
13,2006-11-06 00:00:00,at Seahawks,-7.0,Raiders,36.0,,
0,2006-11-12 00:00:00,Chargers,-1.0,at Bengals,48.0,,
1,2006-11-12 00:00:00,at Lions,-6.0,49ers,46.5,,
2,2006-11-12 00:00:00,at Colts,-12.0,Bills,45.0,,
3,2006-11-12 00:00:00,at Jaguars,-10.0,Texans,37.0,,
4,2006-11-12 00:00:00,at Dolphins,-1.0,Chiefs,40.0,,
5,2006-11-12 00:00:00,at Vikings,-5.0,Packers,39.0,,
6,2006-11-12 00:00:00,at Patriots,-10.0,Jets,38.0,,
7,2006-11-12 00:00:00,at Giants,-1.0,Bears,37.0,,
8,2006-11-12 00:00:00,Broncos,-9.0,at Raiders,33.0,,
9,2006-11-12 00:00:00,at Eagles,-7.0,Redskins,42.0,,
10,2006-11-12 00:00:00,at Steelers,-5.5,Saints,45.0,,
11,2006-11-12 00:00:00,at Seahawks,-3.0,Rams,43.0,,
12,2006-11-12 00:00:00,Ravens,-7.0,at Titans,38.0,,
13,2006-11-12 00:00:00,Cowboys,-6.0,at Cardinals,43.0,,
14,2006-11-12 00:00:00,at Falcons,-8.0,Browns,41.0,,
15,2006-11-13 00:00:00,at Panthers,-9.0,Buccaneers,37.0,,
0,2006-11-19 00:00:00,at Cardinals,-2.0,Lions,45.0,,
1,2006-11-19 00:00:00,at Ravens,-3.0,Falcons,40.0,,
2,2006-11-19 00:00:00,at Panthers,-6.0,Rams,44.0,,
3,2006-11-19 00:00:00,Steelers,-3.0,at Browns,37.0,,
4,2006-11-19 00:00:00,at Cowboys,-0.0,Colts,49.0,,
5,2006-11-19 00:00:00,at Broncos,-2.0,Chargers,43.0,,
6,2006-11-19 00:00:00,Patriots,-5.5,at Packers,45.0,,
7,2006-11-19 00:00:00,at Texans,-2.0,Bills,36.0,,
8,2006-11-19 00:00:00,at Chiefs,-9.0,Raiders,36.0,,
9,2006-11-19 00:00:00,at Dolphins,-3.0,Vikings,33.0,,
10,2006-11-19 00:00:00,at Saints,-3.0,Bengals,51.0,,
11,2006-11-19 00:00:00,Bears,-6.0,at Jets,38.0,,
12,2006-11-19 00:00:00,at Eagles,-13.0,Titans,43.0,,
13,2006-11-19 00:00:00,Seahawks,-3.0,at 49ers,43.0,,
14,2006-11-19 00:00:00,at Buccaneers,-3.0,Redskins,33.0,,
15,2006-11-20 00:00:00,at Jaguars,-3.0,Giants,38.0,,
0,2006-11-23 00:00:00,at Chiefs,-1.0,Broncos,38.0,,
1,2006-11-23 00:00:00,at Cowboys,-11.0,Buccaneers,39.0,,
2,2006-11-23 00:00:00,Dolphins,-3.0,at Lions,40.0,,
3,2006-11-26 00:00:00,at Colts,-9.0,Eagles,44.0,,
4,2006-11-26 00:00:00,Giants,-3.0,at Titans,44.0,,
5,2006-11-26 00:00:00,Panthers,-4.0,at Redskins,36.0,,
6,2006-11-26 00:00:00,at Chargers,-13.0,Raiders,43.0,,
7,2006-11-26 00:00:00,at Rams,-4.0,49ers,44.0,,
8,2006-11-26 00:00:00,at Vikings,-6.5,Cardinals,38.0,,
9,2006-11-26 00:00:00,at Patriots,-4.0,Bears,37.0,,
10,2006-11-26 00:00:00,at Jets,-5.0,Texans,40.0,,
11,2006-11-26 00:00:00,at Falcons,-3.0,Saints,48.0,,
12,2006-11-26 00:00:00,at Ravens,-3.0,Steelers,39.0,,
13,2006-11-26 00:00:00,Jaguars,-3.0,at Bills,35.0,,
14,2006-11-26 00:00:00,Bengals,-3.0,at Browns,43.0,,
15,2006-11-27 00:00:00,at Seahawks,-9.0,Packers,43.0,,
0,2006-11-30 00:00:00,at Bengals,-3.0,Ravens,42.0,,
1,2006-12-03 00:00:00,Chiefs,-5.0,at Browns,35.0,,
2,2006-12-03 00:00:00,at Broncos,-4.0,Seahawks,40.0,,
3,2006-12-03 00:00:00,Jets,-1.5,at Packers,41.0,,
4,2006-12-03 00:00:00,at Rams,-6.0,Cardinals,46.0,,
5,2006-12-03 00:00:00,at Dolphins,-1.0,Jaguars,35.0,,
6,2006-12-03 00:00:00,at Patriots,-13.0,Lions,41.0,,
7,2006-12-03 00:00:00,at Saints,-7.0,49ers,45.0,,
8,2006-12-03 00:00:00,Cowboys,-3.0,at Giants,43.0,,
9,2006-12-03 00:00:00,at Raiders,-3.0,Texans,35.0,,
10,2006-12-03 00:00:00,Chargers,-6.0,at Bills,41.0,,
11,2006-12-03 00:00:00,at Bears,-9.0,Vikings,34.0,,
12,2006-12-03 00:00:00,at Steelers,-7.0,Buccaneers,40.0,,
13,2006-12-03 00:00:00,Colts,-7.0,at Titans,47.0,,
14,2006-12-03 00:00:00,at Redskins,-1.0,Falcons,38.0,,
15,2006-12-04 00:00:00,Panthers,-3.0,at Eagles,37.0,,
0,2006-12-07 00:00:00,at Steelers,-7.0,Browns,34.0,,
1,2006-12-10 00:00:00,at 49ers,-4.0,Packers,44.0,,
2,2006-12-10 00:00:00,Falcons,-3.0,at Buccaneers,37.0,,
3,2006-12-10 00:00:00,Eagles,-1.5,at Redskins,40.0,,
4,2006-12-10 00:00:00,Patriots,-3.0,at Dolphins,37.0,,
5,2006-12-10 00:00:00,at Jets,-4.0,Bills,37.0,,
6,2006-12-10 00:00:00,Seahawks,-3.0,at Cardinals,45.0,,
7,2006-12-10 00:00:00,at Panthers,-3.0,Giants,39.0,,
8,2006-12-10 00:00:00,at Bengals,-10.0,Raiders,39.0,,
9,2006-12-10 00:00:00,at Cowboys,-7.0,Saints,47.0,,
10,2006-12-10 00:00:00,at Lions,-1.0,Vikings,40.0,,
11,2006-12-10 00:00:00,at Texans,-1.5,Titans,42.0,,
12,2006-12-10 00:00:00,Colts,-1.0,at Jaguars,44.0,,
13,2006-12-10 00:00:00,at Chiefs,-3.0,Ravens,36.0,,
14,2006-12-10 00:00:00,at Chargers,-7.0,Broncos,41.0,,
15,2006-12-11 00:00:00,Bears,-6.0,at Rams,40.0,,
0,2006-12-14 00:00:00,at Seahawks,-10.0,49ers,39.0,,
1,2006-12-16 00:00:00,Cowboys,-3.0,at Falcons,44.0,,
2,2006-12-17 00:00:00,at Ravens,-12.0,Browns,34.0,,
3,2006-12-17 00:00:00,at Bills,-1.5,Dolphins,34.0,,
4,2006-12-17 00:00:00,Steelers,-3.0,at Panthers,38.0,,
5,2006-12-17 00:00:00,at Bears,-13.0,Buccaneers,34.0,,
6,2006-12-17 00:00:00,at Packers,-4.5,Lions,44.0,,
7,2006-12-17 00:00:00,at Chargers,-7.5,Chiefs,46.0,,
8,2006-12-17 00:00:00,at Vikings,-3.0,Jets,41.0,,
9,2006-12-17 00:00:00,at Patriots,-12.0,Texans,37.0,,
10,2006-12-17 00:00:00,at Saints,-9.0,Redskins,46.0,,
11,2006-12-17 00:00:00,at Giants,-5.0,Eagles,44.0,,
12,2006-12-17 00:00:00,at Raiders,-2.0,Rams,38.0,,
13,2006-12-17 00:00:00,Jaguars,-3.0,at Titans,40.5,,
14,2006-12-17 00:00:00,Broncos,-3.0,at Cardinals,42.0,,
15,2006-12-18 00:00:00,at Colts,-3.0,Bengals,54.0,,
0,2006-12-21 00:00:00,at Packers,-3.0,Vikings,37.0,,
1,2006-12-23 00:00:00,Chiefs,-7.0,at Raiders,36.0,,
2,2006-12-24 00:00:00,at Steelers,-3.0,Ravens,36.0,,
3,2006-12-24 00:00:00,Chargers,-4.0,at Seahawks,46.0,,
4,2006-12-24 00:00:00,at 49ers,-4.0,Cardinals,45.0,,
5,2006-12-24 00:00:00,at Broncos,-3.0,Bengals,44.0,,
6,2006-12-24 00:00:00,Bears,-5.0,at Lions,42.0,,
7,2006-12-24 00:00:00,at Giants,-3.0,Saints,47.0,,
8,2006-12-24 00:00:00,Colts,-9.5,at Texans,46.0,,
9,2006-12-24 00:00:00,at Jaguars,-3.0,Patriots,37.0,,
10,2006-12-24 00:00:00,at Rams,-2.0,Redskins,43.0,,
11,2006-12-24 00:00:00,at Falcons,-6.0,Panthers,40.0,,
12,2006-12-24 00:00:00,at Bills,-5.0,Titans,37.0,,
13,2006-12-24 00:00:00,at Browns,-3.0,Buccaneers,36.0,,
14,2006-12-25 00:00:00,at Cowboys,-7.0,Eagles,47.0,,
15,2006-12-25 00:00:00,at Dolphins,-2.0,Jets,36.0,,
0,2006-12-30 00:00:00,Giants,-2.0,at Redskins,42.0,,
1,2006-12-31 00:00:00,at Ravens,-9.0,Bills,36.0,,
2,2006-12-31 00:00:00,at Bears,-3.0,Packers,36.0,,
3,2006-12-31 00:00:00,at Bengals,-6.0,Steelers,44.0,,
4,2006-12-31 00:00:00,at Cowboys,-13.0,Lions,45.0,,
5,2006-12-31 00:00:00,at Broncos,-10.0,49ers,39.0,,
6,2006-12-31 00:00:00,at Texans,-5.0,Browns,37.0,,
7,2006-12-31 00:00:00,at Colts,-9.0,Dolphins,43.0,,
8,2006-12-31 00:00:00,at Chiefs,-2.5,Jaguars,36.0,,
9,2006-12-31 00:00:00,at Chargers,-14.0,Cardinals,44.0,,
10,2006-12-31 00:00:00,Rams,-2.0,at Vikings,43.0,,
11,2006-12-31 00:00:00,Panthers,-3.0,at Saints,38.0,,
12,2006-12-31 00:00:00,at Jets,-11.0,Raiders,34.0,,
13,2006-12-31 00:00:00,at Eagles,-8.0,Falcons,43.0,,
14,2006-12-31 00:00:00,at Buccaneers,-3.0,Seahawks,37.0,,
15,2006-12-31 00:00:00,at Titans,-3.0,Patriots,41.0,,
0,2007-09-06 00:00:00,at Colts,-6.0,Saints,52.5,,
1,2007-09-09 00:00:00,at Jaguars,-7.0,Titans,38.0,,
2,2007-09-09 00:00:00,at Chargers,-6.5,Bears,42.5,,
3,2007-09-09 00:00:00,at Rams,-1.5,Panthers,42.5,,
4,2007-09-09 00:00:00,at Vikings,-3.0,Falcons,35.0,,
5,2007-09-09 00:00:00,Patriots,-6.5,at Jets,41.0,,
6,2007-09-09 00:00:00,at Raiders,-2.5,Lions,39.5,,
7,2007-09-09 00:00:00,at Seahawks,-6.0,Buccaneers,41.0,,
8,2007-09-09 00:00:00,Steelers,-4.5,at Browns,36.5,,
9,2007-09-09 00:00:00,at Cowboys,-6.0,Giants,44.0,,
10,2007-09-09 00:00:00,Eagles,-3.0,at Packers,42.5,,
11,2007-09-09 00:00:00,at Texans,-3.0,Chiefs,37.5,,
12,2007-09-09 00:00:00,Broncos,-3.0,at Bills,37.0,,
13,2007-09-09 00:00:00,at Redskins,-3.0,Dolphins,34.5,,
14,2007-09-10 00:00:00,at Bengals,-2.5,Ravens,40.0,,
15,2007-09-10 00:00:00,at 49ers,-3.0,Cardinals,45.0,,
0,2007-09-16 00:00:00,Seahawks,-3.0,at Cardinals,42.5,,
1,2007-09-16 00:00:00,at Ravens,-9.5,Jets,33.0,,
2,2007-09-16 00:00:00,at Panthers,-6.5,Texans,38.5,,
3,2007-09-16 00:00:00,at Bears,-11.5,Chiefs,34.5,,
4,2007-09-16 00:00:00,Bengals,-7.0,at Browns,41.5,,
5,2007-09-16 00:00:00,at Broncos,-9.5,Raiders,37.5,,
6,2007-09-16 00:00:00,at Lions,-3.0,Vikings,43.0,,
7,2007-09-16 00:00:00,at Jaguars,-10.0,Falcons,34.5,,
8,2007-09-16 00:00:00,at Rams,-3.0,49ers,44.0,,
9,2007-09-16 00:00:00,Cowboys,-3.5,at Dolphins,40.0,,
10,2007-09-16 00:00:00,at Patriots,-3.5,Chargers,46.0,,
11,2007-09-16 00:00:00,at Giants,-2.5,Packers,39.0,,
12,2007-09-16 00:00:00,at Steelers,-9.5,Bills,38.5,,
13,2007-09-16 00:00:00,Saints,-4.5,at Buccaneers,41.5,,
14,2007-09-16 00:00:00,Colts,-7.0,at Titans,45.5,,
15,2007-09-17 00:00:00,at Eagles,-6.5,Redskins,39.0,,
0,2007-09-23 00:00:00,Panthers,-4.0,at Falcons,37.5,,
1,2007-09-23 00:00:00,at Ravens,-7.5,Cardinals,35.5,,
2,2007-09-23 00:00:00,at Bears,-3.0,Cowboys,41.0,,
3,2007-09-23 00:00:00,at Broncos,-3.5,Jaguars,35.5,,
4,2007-09-23 00:00:00,Chargers,-5.5,at Packers,43.5,,
5,2007-09-23 00:00:00,Colts,-6.5,at Texans,47.0,,
6,2007-09-23 00:00:00,at Chiefs,-3.0,Vikings,33.5,,
7,2007-09-23 00:00:00,at Patriots,-16.5,Bills,41.0,,
8,2007-09-23 00:00:00,at Jets,-3.0,Dolphins,36.0,,
9,2007-09-23 00:00:00,at Raiders,-3.0,Browns,41.0,,
10,2007-09-23 00:00:00,at Eagles,-5.5,Lions,44.0,,
11,2007-09-23 00:00:00,at Steelers,-9.5,49ers,37.5,,
12,2007-09-23 00:00:00,at Seahawks,-3.5,Bengals,49.5,,
13,2007-09-23 00:00:00,at Buccaneers,-3.5,Rams,38.5,,
14,2007-09-23 00:00:00,at Redskins,-3.5,Giants,41.0,,
15,2007-09-24 00:00:00,at Saints,-4.5,Titans,45.0,,
0,2007-09-30 00:00:00,Ravens,-4.0,at Browns,40.0,,
1,2007-09-30 00:00:00,at Cowboys,-13.0,Rams,46.5,,
2,2007-09-30 00:00:00,Bears,-2.5,at Lions,45.5,,
3,2007-09-30 00:00:00,at Colts,-9.5,Broncos,46.0,,
4,2007-09-30 00:00:00,at Chargers,-12.0,Chiefs,38.5,,
5,2007-09-30 00:00:00,at Dolphins,-4.0,Raiders,40.5,,
6,2007-09-30 00:00:00,Packers,-1.5,at Vikings,38.0,,
7,2007-09-30 00:00:00,Eagles,-2.5,at Giants,47.5,,
8,2007-09-30 00:00:00,Seahawks,-2.0,at 49ers,40.5,,
9,2007-09-30 00:00:00,Steelers,-5.5,at Cardinals,42.0,,
10,2007-09-30 00:00:00,Texans,-2.5,at Falcons,39.5,,
11,2007-09-30 00:00:00,Jets,-3.5,at Bills,37.5,,
12,2007-09-30 00:00:00,at Panthers,-3.0,Buccaneers,39.0,,
13,2007-10-01 00:00:00,Patriots,-7.5,at Bengals,53.5,,
0,2007-10-07 00:00:00,at Broncos,-1.0,Chargers,43.0,,
1,2007-10-07 00:00:00,at Packers,-3.0,Bears,40.5,,
2,2007-10-07 00:00:00,at Texans,-5.0,Dolphins,43.5,,
3,2007-10-07 00:00:00,at Colts,-9.5,Buccaneers,45.0,,
4,2007-10-07 00:00:00,Jaguars,-2.0,at Chiefs,36.0,,
5,2007-10-07 00:00:00,Cardinals,-3.5,at Rams,40.5,,
6,2007-10-07 00:00:00,at Patriots,-16.0,Browns,48.5,,
7,2007-10-07 00:00:00,at Saints,-3.0,Panthers,43.5,,
8,2007-10-07 00:00:00,at Giants,-3.5,Jets,40.5,,
9,2007-10-07 00:00:00,at Steelers,-5.5,Seahawks,40.5,,
10,2007-10-07 00:00:00,Ravens,-3.5,at 49ers,35.0,,
11,2007-10-07 00:00:00,at Titans,-8.0,Falcons,41.0,,
12,2007-10-07 00:00:00,at Redskins,-3.5,Lions,45.5,,
13,2007-10-08 00:00:00,Cowboys,-10.0,at Bills,45.0,,
0,2007-10-14 00:00:00,at Ravens,-9.0,Rams,36.5,,
1,2007-10-14 00:00:00,at Bears,-5.0,Vikings,37.0,,
2,2007-10-14 00:00:00,at Browns,-4.5,Dolphins,44.5,,
3,2007-10-14 00:00:00,Patriots,-5.5,at Cowboys,53.0,,
4,2007-10-14 00:00:00,at Packers,-3.0,Redskins,40.5,,
5,2007-10-14 00:00:00,at Jaguars,-6.5,Texans,37.0,,
6,2007-10-14 00:00:00,Bengals,-3.0,at Chiefs,42.5,,
7,2007-10-14 00:00:00,at Chargers,-9.5,Raiders,44.0,,
8,2007-10-14 00:00:00,Eagles,-3.5,at Jets,42.5,,
9,2007-10-14 00:00:00,at Seahawks,-6.5,Saints,42.5,,
10,2007-10-14 00:00:00,at Buccaneers,-3.0,Titans,37.5,,
11,2007-10-14 00:00:00,at Cardinals,-5.0,Panthers,40.0,,
12,2007-10-15 00:00:00,Giants,-4.0,at Falcons,43.5,,
0,2007-10-21 00:00:00,Ravens,-3.0,at Bills,33.5,,
1,2007-10-21 00:00:00,at Bengals,-6.0,Jets,47.5,,
2,2007-10-21 00:00:00,at Cowboys,-9.5,Vikings,46.0,,
3,2007-10-21 00:00:00,Steelers,-3.5,at Broncos,38.0,,
4,2007-10-21 00:00:00,at Lions,-2.5,Buccaneers,44.5,,
5,2007-10-21 00:00:00,Titans,-1.0,at Texans,37.5,,
6,2007-10-21 00:00:00,Patriots,-16.0,at Dolphins,51.0,,
7,2007-10-21 00:00:00,at Saints,-8.0,Falcons,42.5,,
8,2007-10-21 00:00:00,at Giants,-9.5,49ers,39.0,,
9,2007-10-21 00:00:00,at Raiders,-2.5,Chiefs,37.5,,
10,2007-10-21 00:00:00,at Eagles,-5.5,Bears,42.5,,
11,2007-10-21 00:00:00,at Seahawks,-8.0,Rams,39.5,,
12,2007-10-21 00:00:00,at Redskins,-8.0,Cardinals,36.0,,
13,2007-10-22 00:00:00,Colts,-3.0,at Jaguars,44.5,,
0,2007-10-28 00:00:00,at Chargers,-9.5,Texans,45.0,,
1,2007-10-28 00:00:00,Browns,-3.0,at Rams,45.0,,
2,2007-10-28 00:00:00,Giants,-10.0,at Dolphins,47.5,,
3,2007-10-28 00:00:00,Eagles,-1.0,at Vikings,37.5,,
4,2007-10-28 00:00:00,at Patriots,-15.5,Redskins,47.5,,
5,2007-10-28 00:00:00,at Jets,-3.0,Bills,38.0,,
6,2007-10-28 00:00:00,Saints,-2.5,at 49ers,40.0,,
7,2007-10-28 00:00:00,at Buccaneers,-3.5,Jaguars,32.5,,
8,2007-10-28 00:00:00,at Titans,-7.0,Raiders,40.0,,
9,2007-10-28 00:00:00,Colts,-6.5,at Panthers,44.0,,
10,2007-10-28 00:00:00,at Bears,-5.0,Lions,45.0,,
11,2007-10-28 00:00:00,Steelers,-3.5,at Bengals,48.0,,
12,2007-10-29 00:00:00,at Broncos,-3.0,Packers,42.5,,
0,2007-11-04 00:00:00,at Falcons,-3.5,49ers,37.0,,
1,2007-11-04 00:00:00,Bengals,-1.0,at Bills,43.5,,
2,2007-11-04 00:00:00,at Browns,-1.5,Seahawks,46.5,,
3,2007-11-04 00:00:00,at Lions,-3.0,Broncos,46.5,,
4,2007-11-04 00:00:00,Patriots,-5.0,at Colts,56.5,,
5,2007-11-04 00:00:00,at Chiefs,-2.5,Packers,37.5,,
6,2007-11-04 00:00:00,Chargers,-7.0,at Vikings,41.5,,
7,2007-11-04 00:00:00,at Saints,-3.5,Jaguars,40.0,,
8,2007-11-04 00:00:00,Redskins,-3.5,at Jets,36.0,,
9,2007-11-04 00:00:00,at Raiders,-3.0,Texans,41.5,,
10,2007-11-04 00:00:00,Cowboys,-3.0,at Eagles,46.5,,
11,2007-11-04 00:00:00,at Buccaneers,-3.5,Cardinals,38.5,,
12,2007-11-04 00:00:00,at Titans,-5.0,Panthers,36.0,,
13,2007-11-05 00:00:00,at Steelers,-9.0,Ravens,36.0,,
0,2007-11-11 00:00:00,at Cardinals,-2.0,Lions,44.5,,
1,2007-11-11 00:00:00,at Ravens,-3.5,Bengals,44.5,,
2,2007-11-11 00:00:00,at Panthers,-3.5,Falcons,35.5,,
3,2007-11-11 00:00:00,at Packers,-5.5,Vikings,40.5,,
4,2007-11-11 00:00:00,at Chiefs,-3.0,Broncos,37.5,,
5,2007-11-11 00:00:00,Colts,-3.5,at Chargers,48.0,,
6,2007-11-11 00:00:00,Bills,-2.5,at Dolphins,41.0,,
7,2007-11-11 00:00:00,at Saints,-10.5,Rams,46.5,,
8,2007-11-11 00:00:00,Cowboys,-2.0,at Giants,48.0,,
9,2007-11-11 00:00:00,Bears,-3.5,at Raiders,38.0,,
10,2007-11-11 00:00:00,at Steelers,-10.0,Browns,47.0,,
11,2007-11-11 00:00:00,at Titans,-4.5,Jaguars,36.0,,
12,2007-11-11 00:00:00,at Redskins,-2.5,Eagles,37.5,,
13,2007-11-12 00:00:00,at Seahawks,-9.5,49ers,38.5,,
0,2007-11-18 00:00:00,Giants,-3.0,at Lions,48.0,,
1,2007-11-18 00:00:00,at Packers,-9.5,Panthers,37.5,,
2,2007-11-18 00:00:00,at Texans,-1.5,Saints,48.0,,
3,2007-11-18 00:00:00,at Colts,-14.5,Chiefs,42.0,,
4,2007-11-18 00:00:00,at Jaguars,-3.0,Chargers,40.5,,
5,2007-11-18 00:00:00,at Vikings,-4.5,Raiders,35.5,,
6,2007-11-18 00:00:00,Steelers,-9.5,at Jets,40.0,,
7,2007-11-18 00:00:00,at Eagles,-9.5,Dolphins,40.5,,
8,2007-11-18 00:00:00,at Seahawks,-5.5,Bears,37.5,,
9,2007-11-18 00:00:00,Rams,-3.0,at 49ers,39.5,,
10,2007-11-18 00:00:00,Buccaneers,-3.0,at Falcons,35.5,,
11,2007-11-18 00:00:00,Browns,-2.5,at Ravens,43.5,,
12,2007-11-18 00:00:00,Patriots,-15.5,at Bills,46.5,,
13,2007-11-18 00:00:00,at Bengals,-3.0,Cardinals,48.5,,
14,2007-11-18 00:00:00,at Cowboys,-10.5,Redskins,47.0,,
15,2007-11-19 00:00:00,at Broncos,-2.0,Titans,38.0,,
0,2007-11-22 00:00:00,at Cowboys,-14.0,Jets,47.5,,
1,2007-11-22 00:00:00,Packers,-3.5,at Lions,47.0,,
2,2007-11-22 00:00:00,Colts,-12.0,at Falcons,41.5,,
3,2007-11-25 00:00:00,Saints,-3.0,at Panthers,42.0,,
4,2007-11-25 00:00:00,at Bears,-1.5,Broncos,41.5,,
5,2007-11-25 00:00:00,Titans,-1.0,at Bengals,47.0,,
6,2007-11-25 00:00:00,at Browns,-3.5,Texans,51.5,,
7,2007-11-25 00:00:00,at Cardinals,-10.5,49ers,37.5,,
8,2007-11-25 00:00:00,at Buccaneers,-3.5,Redskins,38.0,,
9,2007-11-25 00:00:00,at Jaguars,-8.5,Bills,37.0,,
10,2007-11-25 00:00:00,at Chiefs,-4.5,Raiders,34.0,,
11,2007-11-25 00:00:00,at Chargers,-9.0,Ravens,38.5,,
12,2007-11-25 00:00:00,Seahawks,-3.0,at Rams,44.5,,
13,2007-11-25 00:00:00,at Patriots,-24.0,Eagles,51.0,,
14,2007-11-25 00:00:00,at Giants,-7.0,Vikings,40.0,,
15,2007-11-26 00:00:00,at Steelers,-16.0,Dolphins,39.0,,
0,2007-11-29 00:00:00,at Cowboys,-7.0,Packers,51.0,,
1,2007-12-02 00:00:00,at Colts,-6.5,Jaguars,45.0,,
2,2007-12-02 00:00:00,Chargers,-6.0,at Chiefs,37.0,,
3,2007-12-02 00:00:00,at Rams,-3.0,Falcons,40.5,,
4,2007-12-02 00:00:00,at Dolphins,-1.5,Jets,37.5,,
5,2007-12-02 00:00:00,at Vikings,-4.5,Lions,45.0,,
6,2007-12-02 00:00:00,at Saints,-3.5,Buccaneers,41.5,,
7,2007-12-02 00:00:00,Broncos,-3.5,at Raiders,42.0,,
8,2007-12-02 00:00:00,at Eagles,-3.0,Seahawks,40.5,,
9,2007-12-02 00:00:00,at Steelers,-7.0,Bengals,40.0,,
10,2007-12-02 00:00:00,at Titans,-3.5,Texans,41.0,,
11,2007-12-02 00:00:00,at Redskins,-6.0,Bills,37.0,,
12,2007-12-02 00:00:00,at Cardinals,-1.0,Browns,52.0,,
13,2007-12-02 00:00:00,at Panthers,-3.0,49ers,35.5,,
14,2007-12-02 00:00:00,Giants,-1.5,at Bears,40.0,,
15,2007-12-03 00:00:00,Patriots,-19.5,at Ravens,48.0,,
0,2007-12-06 00:00:00,at Redskins,-3.0,Bears,38.0,,
1,2007-12-09 00:00:00,Colts,-9.0,at Ravens,41.5,,
2,2007-12-09 00:00:00,at Bills,-7.0,Dolphins,35.0,,
3,2007-12-09 00:00:00,at Bengals,-9.5,Rams,45.5,,
4,2007-12-09 00:00:00,at Broncos,-7.0,Chiefs,37.0,,
5,2007-12-09 00:00:00,Cowboys,-10.5,at Lions,50.5,,
6,2007-12-09 00:00:00,at Packers,-10.5,Raiders,40.5,,
7,2007-12-09 00:00:00,Buccaneers,-3.0,at Texans,40.0,,
8,2007-12-09 00:00:00,at Jaguars,-10.5,Panthers,38.5,,
9,2007-12-09 00:00:00,at Patriots,-10.5,Steelers,47.5,,
10,2007-12-09 00:00:00,Browns,-3.5,at Jets,47.5,,
11,2007-12-09 00:00:00,at Eagles,-3.0,Giants,42.0,,
12,2007-12-09 00:00:00,at Seahawks,-7.0,Cardinals,44.5,,
13,2007-12-09 00:00:00,Vikings,-8.5,at 49ers,38.5,,
14,2007-12-09 00:00:00,Chargers,-1.0,at Titans,39.5,,
15,2007-12-10 00:00:00,Saints,-3.5,at Falcons,42.5,,
0,2007-12-13 00:00:00,Broncos,-1.5,at Texans,47.0,,
1,2007-12-15 00:00:00,Bengals,-8.0,at 49ers,42.5,,
2,2007-12-16 00:00:00,at Buccaneers,-12.5,Falcons,38.0,,
3,2007-12-16 00:00:00,Seahawks,-7.5,at Panthers,37.5,,
4,2007-12-16 00:00:00,at Browns,-5.5,Bills,37.5,,
5,2007-12-16 00:00:00,at Cowboys,-10.0,Eagles,48.5,,
6,2007-12-16 00:00:00,Titans,-3.5,at Chiefs,34.0,,
7,2007-12-16 00:00:00,at Chargers,-10.0,Lions,45.5,,
8,2007-12-16 00:00:00,Packers,-7.5,at Rams,45.0,,
9,2007-12-16 00:00:00,Ravens,-3.5,at Dolphins,37.5,,
10,2007-12-16 00:00:00,at Patriots,-21.0,Jets,42.5,,
11,2007-12-16 00:00:00,at Saints,-3.5,Cardinals,48.5,,
12,2007-12-16 00:00:00,at Giants,-5.0,Redskins,36.0,,
13,2007-12-16 00:00:00,Colts,-10.0,at Raiders,45.0,,
14,2007-12-16 00:00:00,at Steelers,-3.5,Jaguars,35.0,,
15,2007-12-17 00:00:00,at Vikings,-10.5,Bears,43.0,,
0,2007-12-20 00:00:00,Steelers,-8.0,at Rams,43.0,,
1,2007-12-22 00:00:00,Cowboys,-10.5,at Panthers,42.5,,
2,2007-12-23 00:00:00,Packers,-8.0,at Bears,33.0,,
3,2007-12-23 00:00:00,Browns,-2.5,at Bengals,43.5,,
4,2007-12-23 00:00:00,at Lions,-5.5,Chiefs,43.5,,
5,2007-12-23 00:00:00,at Colts,-7.0,Texans,45.0,,
6,2007-12-23 00:00:00,at Jaguars,-13.5,Raiders,39.0,,
7,2007-12-23 00:00:00,at Vikings,-6.5,Redskins,40.5,,
8,2007-12-23 00:00:00,at Patriots,-22.0,Dolphins,45.0,,
9,2007-12-23 00:00:00,at Saints,-3.0,Eagles,47.0,,
10,2007-12-23 00:00:00,at Seahawks,-11.5,Ravens,39.0,,
11,2007-12-23 00:00:00,Buccaneers,-6.0,at 49ers,36.5,,
12,2007-12-23 00:00:00,at Titans,-8.5,Jets,37.0,,
